"","country","prov","dataset.id","distance_m","within_distance_type","pair_id","site_role","origin","org.site","unique.id","river","latitude","longitude","st.yr","ed.yr","yr.ln","yr.num"
"67","Switzerland","Christopher Robinson","CHE_076_MZB_LO",351.787449393352,"within_100m_to_1000m","CHE_076_MZB_LO_1__CHE_076_MZB_LO_4","i","new data call","1","CHE_076_MZB_LO_1","Grond",46.7292538603,10.126757835,2001,2022,22,22
"68","Switzerland","Christopher Robinson","CHE_076_MZB_LO",351.787449393352,"within_100m_to_1000m","CHE_076_MZB_LO_1__CHE_076_MZB_LO_4","j","new data call","4","CHE_076_MZB_LO_4","Immez",46.7279272478,10.1311028504,2001,2022,22,22
"69","Switzerland","Christopher Robinson","CHE_076_MZB_LO",335.787269962653,"within_100m_to_1000m","CHE_076_MZB_LO_2__CHE_076_MZB_LO_4","i","new data call","2","CHE_076_MZB_LO_2","Mezza-Gluna",46.7299353673,10.1276295696,2001,2022,22,22
"70","Switzerland","Christopher Robinson","CHE_076_MZB_LO",335.787269962653,"within_100m_to_1000m","CHE_076_MZB_LO_2__CHE_076_MZB_LO_4","j","new data call","4","CHE_076_MZB_LO_4","Immez",46.7279272478,10.1311028504,2001,2022,22,22
"71","Switzerland","Christopher Robinson","CHE_076_MZB_LO",146.999582707182,"within_100m_to_1000m","CHE_076_MZB_LO_3__CHE_076_MZB_LO_4","i","new data call","3","CHE_076_MZB_LO_3","Mezza-Gluna",46.7292682892,10.1307247637,2001,2022,22,22
"72","Switzerland","Christopher Robinson","CHE_076_MZB_LO",146.999582707182,"within_100m_to_1000m","CHE_076_MZB_LO_3__CHE_076_MZB_LO_4","j","new data call","4","CHE_076_MZB_LO_4","Immez",46.7279272478,10.1311028504,2001,2022,22,22
"73","Switzerland","Christopher Robinson","CHE_076_MZB_LO",440.14974309088,"within_100m_to_1000m","CHE_076_MZB_LO_1__CHE_076_MZB_LO_5","i","new data call","1","CHE_076_MZB_LO_1","Grond",46.7292538603,10.126757835,2001,2022,22,22
"74","Switzerland","Christopher Robinson","CHE_076_MZB_LO",440.14974309088,"within_100m_to_1000m","CHE_076_MZB_LO_1__CHE_076_MZB_LO_5","j","new data call","5","CHE_076_MZB_LO_5","Sura",46.7251800148,10.1262275256,2001,2022,22,22
"75","Switzerland","Christopher Robinson","CHE_076_MZB_LO",522.146562627823,"within_100m_to_1000m","CHE_076_MZB_LO_2__CHE_076_MZB_LO_5","i","new data call","2","CHE_076_MZB_LO_2","Mezza-Gluna",46.7299353673,10.1276295696,2001,2022,22,22
"76","Switzerland","Christopher Robinson","CHE_076_MZB_LO",522.146562627823,"within_100m_to_1000m","CHE_076_MZB_LO_2__CHE_076_MZB_LO_5","j","new data call","5","CHE_076_MZB_LO_5","Sura",46.7251800148,10.1262275256,2001,2022,22,22
"77","Switzerland","Christopher Robinson","CHE_076_MZB_LO",551.639092230117,"within_100m_to_1000m","CHE_076_MZB_LO_3__CHE_076_MZB_LO_5","i","new data call","3","CHE_076_MZB_LO_3","Mezza-Gluna",46.7292682892,10.1307247637,2001,2022,22,22
"78","Switzerland","Christopher Robinson","CHE_076_MZB_LO",551.639092230117,"within_100m_to_1000m","CHE_076_MZB_LO_3__CHE_076_MZB_LO_5","j","new data call","5","CHE_076_MZB_LO_5","Sura",46.7251800148,10.1262275256,2001,2022,22,22
"79","Switzerland","Christopher Robinson","CHE_076_MZB_LO",466.432343707109,"within_100m_to_1000m","CHE_076_MZB_LO_4__CHE_076_MZB_LO_5","i","new data call","4","CHE_076_MZB_LO_4","Immez",46.7279272478,10.1311028504,2001,2022,22,22
"80","Switzerland","Christopher Robinson","CHE_076_MZB_LO",466.432343707109,"within_100m_to_1000m","CHE_076_MZB_LO_4__CHE_076_MZB_LO_5","j","new data call","5","CHE_076_MZB_LO_5","Sura",46.7251800148,10.1262275256,2001,2022,22,22
"81","Switzerland","Christopher Robinson","CHE_076_MZB_LO",326.802926314975,"within_100m_to_1000m","CHE_076_MZB_LO_1__CHE_076_MZB_LO_6","i","new data call","1","CHE_076_MZB_LO_1","Grond",46.7292538603,10.126757835,2001,2022,22,22
"82","Switzerland","Christopher Robinson","CHE_076_MZB_LO",326.802926314975,"within_100m_to_1000m","CHE_076_MZB_LO_1__CHE_076_MZB_LO_6","j","new data call","6","CHE_076_MZB_LO_6","Sura",46.7263927124,10.1282382454,2001,2022,22,22
"83","Switzerland","Christopher Robinson","CHE_076_MZB_LO",383.88516865835,"within_100m_to_1000m","CHE_076_MZB_LO_2__CHE_076_MZB_LO_6","i","new data call","2","CHE_076_MZB_LO_2","Mezza-Gluna",46.7299353673,10.1276295696,2001,2022,22,22
"84","Switzerland","Christopher Robinson","CHE_076_MZB_LO",383.88516865835,"within_100m_to_1000m","CHE_076_MZB_LO_2__CHE_076_MZB_LO_6","j","new data call","6","CHE_076_MZB_LO_6","Sura",46.7263927124,10.1282382454,2001,2022,22,22
"85","Switzerland","Christopher Robinson","CHE_076_MZB_LO",360.018338242242,"within_100m_to_1000m","CHE_076_MZB_LO_3__CHE_076_MZB_LO_6","i","new data call","3","CHE_076_MZB_LO_3","Mezza-Gluna",46.7292682892,10.1307247637,2001,2022,22,22
"86","Switzerland","Christopher Robinson","CHE_076_MZB_LO",360.018338242242,"within_100m_to_1000m","CHE_076_MZB_LO_3__CHE_076_MZB_LO_6","j","new data call","6","CHE_076_MZB_LO_6","Sura",46.7263927124,10.1282382454,2001,2022,22,22
"87","Switzerland","Christopher Robinson","CHE_076_MZB_LO",268.708841673941,"within_100m_to_1000m","CHE_076_MZB_LO_4__CHE_076_MZB_LO_6","i","new data call","4","CHE_076_MZB_LO_4","Immez",46.7279272478,10.1311028504,2001,2022,22,22
"88","Switzerland","Christopher Robinson","CHE_076_MZB_LO",268.708841673941,"within_100m_to_1000m","CHE_076_MZB_LO_4__CHE_076_MZB_LO_6","j","new data call","6","CHE_076_MZB_LO_6","Sura",46.7263927124,10.1282382454,2001,2022,22,22
"89","Switzerland","Christopher Robinson","CHE_076_MZB_LO",197.916129470776,"within_100m_to_1000m","CHE_076_MZB_LO_5__CHE_076_MZB_LO_6","i","new data call","5","CHE_076_MZB_LO_5","Sura",46.7251800148,10.1262275256,2001,2022,22,22
