"Unique.ID","Samp.ID","Sampling.date","year","month","day","ADICELLA SP.","ANCYLUS FLUVIATILIS","ANTHOMYIIDAE GEN. SP.","ATHERICIDAE GEN. SP.","ATHRIPSODES SP.","BAETIDAE GEN. SP.","BERAEA SP.","BLEPHARICERIDAE GEN. SP.","BOYERIA IRENE","BRACHYPTERA ARCUATA","CAENIS SP.","CALOPTERYX SP.","CAPNIIDAE GEN. SP.","CERATOPOGONIDAE GEN. SP.","CHIRONOMIDAE GEN. SP.","COENAGRIONIDAE GEN. SP.","CORDULEGASTER SP.","CORIXIDAE GEN. SP.","DIXIDAE GEN. SP.","DOLICHOPODIDAE GEN. SP.","DRUNELLA PARADINASI","DRYOPS SP.","DUGESIA SP.","DYTISCIDAE GEN. SP.","ELMIDAE GEN. SP.","EMPIDIDAE GEN. SP.","EPHEMERA SP.","ERPOBDELLIDAE GEN. SP.","GERRIS SP.","GLOSSIPHONIIDAE GEN. SP.","GLOSSOSOMATIDAE GEN. SP.","GOERIDAE GEN. SP.","GORDIUS SP.","GYRINIDAE GEN. SP.","HELOPHORUS SP.","HEPTAGENIIDAE GEN. SP.","HYDRAENA SP.","HYDROMETRA SP.","HYDROPHILIDAE GEN. SP.","HYDROPSYCHE SP.","HYDROPTILIDAE GEN. SP.","LEPIDOSTOMA HIRTUM","LEPTOPHLEBIIDAE GEN. SP.","LEUCTRA SP.","LIMNEPHILIDAE GEN. SP.","LIMONIIDAE GEN. SP.","LYMNAEIDAE GEN. SP.","MICRASEMA SP.","MYSTACIDES AZUREA","NEMOURIDAE GEN. SP.","NEPA CINEREA","NOTONECTA SP.","OLIGOCHAETA GEN. SP.","ONYCHOGOMPHUS SP.","PACIFASTACUS LENIUSCULUS","PERLIDAE GEN. SP.","PERLODIDAE GEN. SP.","PHILOPOTAMUS SP.","PHYSIDAE GEN. SP.","PISIDIUM SP.","PLANARIIDAE GEN. SP.","PLATYCNEMIS SP.","POLYCENTROPODIDAE GEN. SP.","PSYCHODIDAE GEN. SP.","PSYCHOMYIIDAE GEN. SP.","RHAGIONIDAE GEN. SP.","RHYACOPHILA SP.","SCIRTIDAE GEN. SP.","SERICOSTOMA SP.","SERRATELLA SP.","SIALIS SP.","SIMULIIDAE GEN. SP.","SIPHLONURUS SP.","SIPHONOPERLA SP.","TABANIDAE GEN. SP.","THAUMALEIDAE GEN. SP.","THREMMA SP.","TIPULIDAE GEN. SP.","VELIIDAE GEN. SP.","WORMALDIA SP."
"ESP_060_MZB_LO_15","ESP_060_MZB_LO_15-16.07.2018","16.07.2018",2018,7,16,0,8,0,0,0,300,0,0,9,0,0,0,0,0,472,0,1,0,0,0,0,0,0,1,0,8,0,0,32,0,0,0,0,0,0,1,8,0,0,0,0,3,0,208,12,0,0,0,0,0,0,0,0,54,0,0,0,0,0,8,0,0,0,0,0,0,3,0,10,58,0,120,0,0,0,0,0,0,0,0
"ESP_060_MZB_LO_15","ESP_060_MZB_LO_15-12.06.2019","12.06.2019",2019,6,12,0,16,0,8,0,664,0,0,2,0,0,3,0,0,616,0,0,0,0,0,0,0,0,0,24,0,0,0,5,0,8,0,0,0,0,0,8,0,0,26,24,16,0,648,8,0,0,16,17,0,0,0,8,30,0,0,0,0,0,0,8,0,0,0,0,0,20,0,0,112,0,152,0,0,1,0,0,0,0,0
"ESP_060_MZB_LO_15","ESP_060_MZB_LO_15-09.06.2020","09.06.2020",2020,6,9,8,0,0,1,0,336,0,3,9,0,0,1,0,0,562,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,16,0,0,0,0,0,24,0,0,11,0,0,8,584,0,8,0,0,0,0,0,0,0,28,0,0,0,0,0,16,0,0,0,0,0,0,16,0,8,30,0,120,0,0,8,0,0,0,12,0
"ESP_060_MZB_LO_15","ESP_060_MZB_LO_15-16.06.2021","16.06.2021",2021,6,16,0,0,0,0,0,232,0,0,19,0,0,1,0,0,440,0,1,0,0,0,0,0,0,3,16,0,0,0,1,0,16,0,0,16,0,9,16,0,8,69,8,8,0,528,1,16,0,8,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,8,0,0,54,0,3,256,0,344,0,0,0,0,0,0,0,0
"ESP_060_MZB_LO_15","ESP_060_MZB_LO_15-10.06.2022","10.06.2022",2022,6,10,8,8,0,0,0,136,0,0,2,0,0,2,0,0,520,0,0,8,0,0,0,0,0,8,9,0,0,0,4,0,0,0,0,0,8,19,8,0,16,35,0,8,8,120,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,8,5,0,1,32,0,8,0,0,0,0,0,0,0,0
"ESP_060_MZB_LO_15","ESP_060_MZB_LO_15-08.06.2023","08.06.2023",2023,6,8,0,8,0,0,0,240,0,0,1,0,0,0,0,8,240,0,1,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,8,0,0,0,9,0,8,24,96,2,0,0,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,2,56,0,64,0,8,8,0,0,0,0,0
"ESP_060_MZB_LO_15","ESP_060_MZB_LO_15-07.06.2024","07.06.2024",2024,6,7,8,8,0,0,0,160,0,0,11,0,0,9,0,8,288,0,12,0,0,0,0,0,0,2,8,0,0,0,2,0,0,0,0,0,8,17,0,0,8,9,0,9,8,112,9,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,8,9,0,0,0,35,0,0,75,0,40,0,0,0,0,0,0,0,0
"ESP_060_MZB_LO_16","ESP_060_MZB_LO_16-15.07.2014","15.07.2014",2014,7,15,0,24,0,0,0,104,0,0,28,0,0,8,0,0,1024,0,11,0,0,0,0,0,0,0,0,0,0,1,6,16,0,0,0,5,0,16,0,0,0,10,0,0,16,96,3,16,0,0,0,0,0,0,9,33,0,0,0,0,0,72,0,0,0,9,8,0,0,0,44,64,0,328,28,0,1,0,0,0,4,0
"ESP_060_MZB_LO_16","ESP_060_MZB_LO_16-09.07.2015","09.07.2015",2015,7,9,16,0,0,0,0,22,0,0,1,0,0,8,0,0,632,0,17,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,65,0,0,0,24,3,17,0,0,0,0,0,0,41,30,0,0,0,0,0,16,0,0,0,16,0,8,1,0,28,0,0,128,9,0,10,0,0,8,0,0
"ESP_060_MZB_LO_16","ESP_060_MZB_LO_16-12.07.2016","12.07.2016",2016,7,12,16,1,0,0,0,56,0,0,9,0,0,0,0,0,304,0,19,1,0,0,0,0,0,0,8,8,0,9,9,17,0,0,0,9,8,35,8,0,16,21,0,0,40,304,9,9,0,0,0,0,0,0,17,1,0,0,0,0,0,16,0,0,27,16,0,0,44,0,131,48,0,256,0,0,0,0,0,0,1,0
