"country","prov","origin","dataset.id","group","org.site","unique.id","river","latitude","longitude","st.yr","ed.yr","yr.ln","yr.num","distance"
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",38,"NRW_288202","GER_070_MZB_LO_202","Uelfe",51.2137724470409,7.31109099173721,2007,2019,13,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",38,"NRW_290701","GER_070_MZB_LO_204","Wupper",51.2215903629116,7.31192186409679,2006,2019,14,7,841.748898294735
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",41,"NRW_300342","GER_070_MZB_LO_214","Wupper",51.1339845601987,7.12119425700592,2006,2019,14,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",41,"NRW_300378","GER_070_MZB_LO_215","Sengbach",51.1323048905901,7.12020472112807,2006,2016,11,5,192.439977283171
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",43,"NRW_300512","GER_070_MZB_LO_216","Morsbach",51.1937515147939,7.21228132021938,2006,2019,14,6,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",43,"NRW_320286","GER_070_MZB_LO_290","Leyerbach",51.1995773454079,7.20219330711238,2007,2019,13,5,924.863665184819
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",44,"NRW_316271","GER_070_MZB_LO_270","Nette",51.3081862833576,6.26023473267501,2006,2019,14,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",44,"NRW_316283","GER_070_MZB_LO_271","Muehlenbach",51.302728183765,6.25645632760356,2006,2019,14,5,639.203808543953
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",47,"NRW_451058","GER_070_MZB_LO_293","Sieg",50.8792611388729,8.02414848540777,2006,2018,13,5,0
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",47,"NRW_455052","GER_070_MZB_LO_302","Weiss",50.8765090685935,8.03493746303412,2008,2018,11,5,790.596994992917
"Germany","Landesamt für Natur, Umwelt und Klima Nordrhein-Westfalen (LANUK)","new data call","GER_070_MZB_LO",47,"NRW_455404","GER_070_MZB_LO_304","Alche",50.8803540056957,8.01082033902667,2008,2018,11,5,913.349738777672
