country,prov,origin,dataset.id,group,org.site,unique.id,river,latitude,longitude,st.yr,ed.yr,yr.ln,yr.num
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,702,154135,ENG_062_MZB_LO_3337,HELTONDALE BECK,54.57756648,-2.781606992,2009,2018,10,10
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,705,153075,ENG_062_MZB_LO_3323,HOWES BECK,54.55648473,-2.750108301,2009,2018,10,10
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,711,158736,ENG_062_MZB_LO_3390,AVON (LS - ABOVE SOWE),52.41144962,-1.134853817,2012,2021,10,10
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,712,154964,ENG_062_MZB_LO_3359,GILT BROOK,52.99830749,-1.281498059,2010,2024,15,6
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,719,157548,ENG_062_MZB_LO_3383,RUDYARD BROOK,53.11552442,-2.069041777,2011,2021,11,10
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,724,160147,ENG_062_MZB_LO_3403,LAMBOURN,51.41105354,-1.325951357,2011,2023,13,10
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,724,160149,ENG_062_MZB_LO_3404,LAMBOURN,51.41196567,-1.328209842,2011,2023,13,10
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,727,160159,ENG_062_MZB_LO_3406,NOE,53.37022992,-1.781479293,2012,2023,12,6
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,738,34171,ENG_062_MZB_LO_929,MIMRAM,51.84760751,-0.248348569,2002,2023,22,22
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,351,48185,ENG_062_MZB_LO_1606,MEDEN,53.23368315,-1.029240766,2002,2013,12,9
England,James Sinclair,"second data call, new data",ENG_062_MZB_LO,402,51052,ENG_062_MZB_LO_1814,SEVERN,52.74314587,-2.789875005,2004,2013,10,10
Finland,Jukka Aroviita,"second data call, new data",FIN_004_MZB_LO,1,S055,FIN_004_MZB_LO_52,Vanjoki,60.516866,24.227676,1998,2021,24,7
Finland,Jukka Aroviita,"second data call, new data",FIN_004_MZB_LO,8,S172,FIN_004_MZB_LO_169,Konttijoki,66.359311,25.892558,2011,2021,11,5
Finland,Jukka Aroviita,"second data call, new data",FIN_004_MZB_LO,8,S173,FIN_004_MZB_LO_170,Konttijoki,66.35416,25.897253,2011,2021,11,5
France,Maxence Forcellini ,"first call, data Ellen used",FRA_014_MZB_LO,1,svg,FRA_014_MZB_LO_2,Rhone,45.8323815,5.299435,1999,2014,16,16
France,Anthony Maire,"first call, data Ellen used",FRA_015_MZB_LO,1,1,FRA_015_MZB_LO_1,Rhone,45.83197222,5.298113889,2000,2019,20,20
France,French biodiversity agency and other agentcies (via Remi Escaffe),"second data call, new data",FRA_046_MZB_LO,20,6072400,FRA_046_MZB_LO_778,Rhone,45.85396034,5.805818155,2009,2021,13,10
Germany,Stefan Stoll,"first call, data Ellen used",GER_020_MZB_LO,1,108000153,GER_020_MZB_LO_1,Thranenbach,49.70591667,7.101083333,1986,2005,20,10
Ireland,Elvira de Eyto,"first call, data Ellen used",IRL_023_MZB_LO,1,4,IRL_023_MZB_LO_4,Cottage,53.951784,-9.559057,2003,2019,17,17
Ireland,Elvira de Eyto,"first call, data Ellen used",IRL_023_MZB_LO,3,12,IRL_023_MZB_LO_12,Lodge,53.97774,-9.559862,2003,2018,16,16
