"country","prov","origin","dataset","group","org.site","unique.id","river","latitude","longitude","yr.st","yr.ed","yr.ln","yr.num","distance"
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",18,"67644","ENG_041_MZB_LO_3574","Langden Brook",53.954334,-2.5660012,1997,2018,22,22,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",18,"67644","ENG_062_MZB_LO_2942","LANGDEN BROOK",53.9548066462,-2.561741305,2002,2018,17,17,275.187963613187
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",19,"69715","ENG_041_MZB_LO_3601","Douglas - Mid",53.54909,-2.6261706,1994,2019,26,25,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",19,"69715","ENG_062_MZB_LO_3071","DOUGLAS",53.5538353992,-2.6240210098,2002,2019,18,16,528.823279019607
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",20,"55088","ENG_041_MZB_LO_3630","Cringle Brook - Lower",52.847954,-0.63536664,1994,2019,26,26,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",20,"55088","ENG_062_MZB_LO_2323","CRINGLE BROOK",52.8494094878,-0.6342299674,2002,2023,22,22,173.111177133066
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",21,"55261","ENG_041_MZB_LO_3638","Slea",53.019864,-0.36606573,1994,2019,26,25,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",21,"55261","ENG_062_MZB_LO_2360","OLD RIVER SLEA",53.0158870309,-0.3726810229,2002,2023,22,21,605.767044250741
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",22,"254","ENG_041_MZB_LO_3728","Ryburn from Source to Booth Dean Clough",53.663875,-1.9530484,1995,2019,25,24,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",22,"254","ENG_062_MZB_LO_68","RYBURN",53.6654607202,-1.9497777927,2002,2019,18,17,269.823083474696
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",22,"1170","ENG_062_MZB_LO_188","BOOTH DEAN CLOUGH",53.6656041265,-1.9488090495,2012,2023,12,11,328.667905039455
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",23,"337","ENG_041_MZB_LO_3731","Wharfe from R Washburn to Collingham Beck",53.906831,-1.6118217,1995,2019,25,19,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",23,"337","ENG_062_MZB_LO_93","WHARFE",53.9084193286,-1.6090876184,2002,2023,22,14,243.763316993674
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",24,"344","ENG_041_MZB_LO_3734","Wharfe from Barben Beck/River Dibb to Hundwith Beck",53.94514,-1.873512,1995,2019,25,18,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",24,"344","ENG_062_MZB_LO_97","WHARFE",53.9460636018,-1.8748230689,2002,2023,22,14,129.670076953145
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",25,"47063","ENG_041_MZB_LO_3761","Trent from Dove to Derwent",52.847795,-1.5619343,1994,2018,25,23,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",25,"47063","ENG_062_MZB_LO_1500","TRENT",52.8471073987,-1.5633183005,2002,2024,23,21,116.5480736434
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",25,"49929","ENG_062_MZB_LO_1728","EGGINGTON BROOK",52.8488159452,-1.5634645256,2002,2014,13,5,148.234991702076
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",26,"49359","ENG_041_MZB_LO_3774","Derwent from Bottle Brook to Trent",52.90477,-1.4305231,1994,2019,26,26,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",26,"49359","ENG_062_MZB_LO_1697","DERWENT (LT)",52.9066626885,-1.4352078815,2002,2022,21,19,366.312365369489
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",27,"49685","ENG_041_MZB_LO_3775","Erewash from Source to Nethergreen Brook",53.070606,-1.3402815,1994,2019,26,16,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",27,"49685","ENG_062_MZB_LO_1708","EREWASH",53.0712610594,-1.3414187862,2002,2024,23,12,101.928764228284
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",28,"49781","ENG_041_MZB_LO_3776","Erewash from Source to Nethergreen Brook",53.084879,-1.3206544,1994,2019,26,16,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",28,"49781","ENG_062_MZB_LO_1716","EREWASH",53.0843319272,-1.3238414061,2002,2024,23,12,214.590746969233
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",29,"50094","ENG_041_MZB_LO_3779","Poulter from Source to Millwood Brook",53.227127,-1.2105538,1994,2019,26,26,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",29,"50094","ENG_062_MZB_LO_1741","POULTER",53.2280852575,-1.2070297927,2002,2024,23,23,249.718931853682
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",30,"50294","ENG_041_MZB_LO_3780","Idle from Ryton to Trent",53.456993,-0.84785777,1994,2019,26,25,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",30,"50294","ENG_062_MZB_LO_1748","IDLE",53.4573121548,-0.8498710208,2002,2024,23,23,133.754061125435
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",31,"50378","ENG_041_MZB_LO_3781","Churnet from Source to Meerbrook",53.14075,-2.0029494,1994,2019,26,25,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",31,"50378","ENG_062_MZB_LO_1757","CHURNET",53.139752046,-2.0024981199,2003,2023,21,20,111.228174277666
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",32,"51467","ENG_041_MZB_LO_3787","Trent from Soar to The Beck",52.985421,-0.98705922,1994,2016,23,21,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",32,"48059","ENG_062_MZB_LO_1591","SHELFORD BROOK",52.9849931271,-0.982999485,2002,2016,15,5,267.454147648514
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",32,"51467","ENG_062_MZB_LO_1865","TRENT",52.986697591,-0.9878604438,2002,2016,15,13,146.79760603871
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",33,"52917","ENG_041_MZB_LO_3795","Tame from River Anker to River Trent",52.721531,-1.7245785,1994,2018,25,21,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",33,"52491","ENG_062_MZB_LO_1956","MEASE",52.722778774,-1.7166282743,2002,2023,22,15,536.050880571975
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",33,"52917","ENG_062_MZB_LO_2016","TAME (UT)",52.722920199,-1.7232307818,2003,2018,16,13,173.344518880162
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",34,"53772","ENG_041_MZB_LO_3801","Anker from River Sence to River Tame",52.58339,-1.5335799,1994,2014,21,18,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",34,"53772","ENG_062_MZB_LO_2100","ANKER",52.584039097,-1.53177875,2002,2014,13,10,137.038826562324
"England","John Francis Murphy","first call; data Ellen used","ENG_041_MZB_LO",35,"53858","ENG_041_MZB_LO_3802","Lathkill from Source to Bradford",53.179402,-1.672281,1994,2019,26,26,0
"England","Don Monteith","first call; data Ellen used","ENG_043_MZB_LO",35,"Lathkill","ENG_043_MZB_LO_7","Lathkill",53.177742,-1.67164516,1997,2012,16,13,183.207070127373
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",35,"53857","ENG_062_MZB_LO_2119","BRADFORD BROOK",53.1762777586,-1.6737998756,2002,2023,22,13,350.066269298895
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",35,"53858","ENG_062_MZB_LO_2120","LATHKILL",53.1777281639,-1.6716792752,2002,2024,23,23,184.179679320014
"England","Don Monteith","first call; data Ellen used","ENG_043_MZB_LO",36,"Bure","ENG_043_MZB_LO_2","Bure",52.72827148,1.35601151,2000,2012,13,13,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",36,"54809","ENG_062_MZB_LO_2233","BURE",52.7239733118,1.3562047672,2002,2023,22,19,462.287398716624
"England","Don Monteith","first call; data Ellen used","ENG_043_MZB_LO",37,"Eden (Cumbria)","ENG_043_MZB_LO_4","Eden (Cumbria)",54.64853287,-2.6145935,1998,2012,15,14,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",37,"65489","ENG_062_MZB_LO_2830","EDEN (NW NORTH)",54.6468722752,-2.6153250651,2002,2022,21,21,184.649179255645
"England","Don Monteith","first call; data Ellen used","ENG_043_MZB_LO",38,"Lambourn","ENG_043_MZB_LO_6","Lambourn",51.42071533,-1.3514558,1998,2012,15,14,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",38,"35779","ENG_062_MZB_LO_1054","WINTERBOURNE",51.4230162655,-1.3505134682,2002,2024,23,13,255.181143440829
"England","Don Monteith","first call; data Ellen used","ENG_043_MZB_LO",40,"Beck","ENG_043_MZB_LO_8","Beck",54.69445801,-2.38004064,1997,2012,16,16,0
"England","James Sinclair","second data call; new data","ENG_062_MZB_LO",40,"1924","ENG_062_MZB_LO_430","TEES",54.6992652423,-2.3727560476,2002,2019,18,13,689.139758584284
"France","Anthony Maire","first call; data Ellen used","FRA_015_MZB_LO",1,"4","FRA_015_MZB_LO_4","Rhone",45.3580555555555,4.76861111111111,2000,2019,20,20,0
"France","French biodiversity agency and other agentcies (via Remi Escaffe)","second data call; new data","FRA_046_MZB_LO",1,"6850100","FRA_046_MZB_LO_1239","LIMONY A LIMONY ",45.3535547975867,4.7573648033423,2008,2021,14,8,982.78709044993
"France","Mathieu Floury","first call; data Ellen used","FRA_016_MZB_LO",1,"4000600","FRA_016_MZB_LO_84","LOIRE",44.8889443708293,3.91979702778816,1995,2016,22,18,0
"France","French biodiversity agency and other agentcies (via Remi Escaffe)","second data call; new data","FRA_046_MZB_LO",1,"4000600","FRA_046_MZB_LO_2","LOIRE à GOUDET",44.8917477944753,3.92117845835792,2005,2017,13,11,320.409009611019
"France","Mathieu Floury","first call; data Ellen used","FRA_016_MZB_LO",2,"4026500","FRA_016_MZB_LO_92","ALLIER",44.5638384638932,3.85061056658052,1997,2016,20,14,0
"France","French biodiversity agency and other agentcies (via Remi Escaffe)","second data call; new data","FRA_046_MZB_LO",2,"4026500","FRA_046_MZB_LO_64","ALLIER à CHASSERADES",44.5639162718592,3.84847660371236,2005,2018,14,11,164.857189864404
"France","Mathieu Floury","first call; data Ellen used","FRA_016_MZB_LO",3,"4029050","FRA_016_MZB_LO_97","ALAGNON",45.4405604414063,3.29488928792388,1997,2015,19,15,0
"France","French biodiversity agency and other agentcies (via Remi Escaffe)","second data call; new data","FRA_046_MZB_LO",3,"4029050","FRA_046_MZB_LO_79","ALAGNON à BEAULIEU",45.4490117684014,3.29884608536023,2005,2017,13,13,959.065934331147
"France","Mathieu Floury","first call; data Ellen used","FRA_016_MZB_LO",4,"4039000","FRA_016_MZB_LO_102","DORE",45.8735749618114,3.47671032924268,1996,2015,20,15,0
"France","French biodiversity agency and other agentcies (via Remi Escaffe)","second data call; new data","FRA_046_MZB_LO",4,"4039000","FRA_046_MZB_LO_98","DORE à DORAT",45.8781809289651,3.48218505551037,2005,2017,13,13,644.850220148622
"France","Mathieu Floury","first call; data Ellen used","FRA_016_MZB_LO",5,"4057000","FRA_016_MZB_LO_111","CHER",46.14425166022,2.56629241901787,1997,2016,20,14,0
"France","French biodiversity agency and other agentcies (via Remi Escaffe)","second data call; new data","FRA_046_MZB_LO",5,"4057040","FRA_046_MZB_LO_164","BORON à SAINT-MARCEL-EN-MARCILLAT",46.1427666883148,2.56659762408531,2007,2017,11,11,161.528396070337
"France","Mathieu Floury","first call; data Ellen used","FRA_016_MZB_LO",6,"4057800","FRA_016_MZB_LO_112","TARDES",46.1840181012942,2.44599515115354,1994,2016,23,13,0
"France","French biodiversity agency and other agentcies (via Remi Escaffe)","second data call; new data","FRA_046_MZB_LO",6,"4057800","FRA_046_MZB_LO_169","TARDES à CHAMBON-SUR-VOUEIZE",46.1843434733995,2.44459870083621,2005,2019,15,13,110.160372718053
"France","Mathieu Floury","first call; data Ellen used","FRA_016_MZB_LO",7,"4062300","FRA_016_MZB_LO_115","AUMANCE",46.5975100474304,2.61101943294017,1995,2017,23,10,0
"France","French biodiversity agency and other agentcies (via Remi Escaffe)","second data call; new data","FRA_046_MZB_LO",7,"4062300","FRA_046_MZB_LO_181","AUMANCE à MEAULNE",46.5961755918094,2.60647473164507,2005,2017,13,6,366.481926391149
"France","Mathieu Floury","first call; data Ellen used","FRA_016_MZB_LO",8,"4086550","FRA_016_MZB_LO_120","CREUSE",45.7642106811862,2.16750017879581,1992,2016,25,16,0
"France","French biodiversity agency and other agentcies (via Remi Escaffe)","second data call; new data","FRA_046_MZB_LO",8,"4086550","FRA_046_MZB_LO_258","CREUSE à CLAIRAVAUX",45.7627501981444,2.16885847571213,2005,2017,13,10,187.740171165572
"France","Mathieu Floury","first call; data Ellen used","FRA_016_MZB_LO",9,"4088000","FRA_016_MZB_LO_121","GRANDE CREUSE",46.2199640082028,1.91988726157206,1992,2017,26,21,0
"France","French biodiversity agency and other agentcies (via Remi Escaffe)","second data call; new data","FRA_046_MZB_LO",9,"4088000","FRA_046_MZB_LO_262","CREUSE à GLENIC",46.2238340316042,1.91914378805532,2005,2017,13,10,420.381861277717
"France","Mathieu Floury","first call; data Ellen used","FRA_016_MZB_LO",10,"4112200","FRA_016_MZB_LO_126","SARTHE",48.3868580873319,-0.0221492109503024,1997,2017,21,15,0
"France","French biodiversity agency and other agentcies (via Remi Escaffe)","second data call; new data","FRA_046_MZB_LO",10,"4112200","FRA_046_MZB_LO_338","SARTHE à MOULINS-LE-CARBONNEL",48.3858385149161,-0.0233043738031,2007,2018,12,12,137.275836381998
